iata_code,type,name,scheduled_service
IKE,heliport,Ikerasak Heliport,yes
QFI,heliport,Iginniarfik Heliport,yes
QRY,heliport,Ikerassaarsuk Heliport,yes
XIQ,heliport,Ilimanaq Heliport,yes
IUI,heliport,Innarsuit Heliport,yes
IOQ,heliport,Isortoq Heliport,yes
QJI,heliport,Ikamiut Heliport,yes
JJU,heliport,Qaqortoq Heliport,yes
JAV,medium_airport,Ilulissat Airport,yes
QPW,heliport,Kangaatsiaq Heliport,yes
KUS,medium_airport,Kulusuk Airport,yes
KUZ,heliport,Kuummiut Heliport,yes
KHQ,heliport,Kullorsuaq Heliport,no
KGQ,heliport,Kangersuatsiaq Heliport,yes
QJE,heliport,Kitsissuarsuit Heliport,yes
IOT,heliport,Illorsuit Heliport,yes
JSU,small_airport,Maniitsoq Airport,yes
JNN,heliport,Nanortalik Heliport,yes
JUU,heliport,Nuugaatsiaq Heliport,yes
JNS,heliport,Narsaq Heliport,yes
NIQ,heliport,Niaqornat Heliport,yes
NSQ,heliport,Nuussuaq Heliport,no
JFR,small_airport,Paamiut Airport,yes
PQT,heliport,Qeqertaq Heliport,yes
NAQ,small_airport,Qaanaaq Airport,yes
QJH,heliport,Qassimiut Heliport,yes
OBY,heliport,Ittoqqortoormiit Heliport,yes
SFJ,medium_airport,Kangerlussuaq Airport,yes
SGG,heliport,Sermiligaaq Heliport,yes
SRK,heliport,Siorapaluk Heliport,yes
QOQ,heliport,Saarloq Heliport,yes
JHS,medium_airport,Sisimiut Airport,yes
SAE,heliport,Saattut Heliport,yes
SVR,heliport,Savissivik Heliport,yes
TQA,heliport,Tasiusaq Heliport,yes
THU,medium_airport,Pituffik Space Base,yes
TQI,heliport,Tiniteqilaaq Heliport,yes
XEQ,heliport,Tasiusaq Heliport,yes
JUV,small_airport,Upernavik Airport,yes
UMD,heliport,Uummannaq Heliport,yes
JQA,small_airport,Qaarsut Airport,yes
JUK,heliport,Ukkusissat Heliport,yes
BHL,small_airport,Bahía de los Ángeles Airport,no
BHT,small_airport,Brighton Downs Airport,no
AEY,medium_airport,Akureyri Airport,yes
BIU,small_airport,Bildudalur Airport,no
BGJ,small_airport,Borgarfjörður eystri Airport,no
BJD,small_airport,Bakkafjörður Airport,no
BLO,small_airport,Blönduós Airport,no
BXV,small_airport,Breiðdalsvík Airport,no
DJU,small_airport,Djúpivogur Airport,no
EGS,medium_airport,Egilsstaðir Airport,yes
FAS,small_airport,Fáskrúðsfjörður Airport,no
FAG,small_airport,Fagurhólsmýri Airport,no
GUU,small_airport,Grundarfjörður Airport,no
GJR,small_airport,Gjögur Airport,no
GRY,small_airport,Grímsey Airport,yes
HVK,small_airport,Hólmavík Airport,no
HFN,medium_airport,Hornafjörður Airport,yes
FLI,small_airport,Holt Airport,no
HZK,medium_airport,Húsavík Airport,yes
HLO,small_airport,Ingjaldssanður Airport,no
IFJ,medium_airport,Ísafjörður Airport,yes
KEF,large_airport,Keflavik International Airport,yes
OPA,small_airport,Kópasker Airport,no
SAK,small_airport,Sauðárkrókur Airport,no
NOR,small_airport,Norðfjörður Airport,no
OFJ,small_airport,Ólafsfjörður Airport,no
PFJ,small_airport,Patreksfjörður Airport,no
RHA,small_airport,Reykhólar Airport,no
OLI,small_airport,Rif Airport,no
RFN,small_airport,Raufarhöfn Airport,no
RKV,medium_airport,Reykjavík Domestic Airport,yes
MVA,small_airport,Reykjahlíð Airport,no
SIJ,medium_airport,Siglufjörður Airport,no
SYK,small_airport,Stykkishólmur Airport,no
TEY,small_airport,Þingeyri Airport,no
THO,small_airport,Þórshöfn Airport,yes
VEY,medium_airport,Vestmannaeyjar Airport,no
